County,Temperature
Chautauqua County,59.3
Cherokee County,58.8
Cheyenne County,51.7
Clark County,58.3
Clay County,55.9
Cloud County,55.5
Coffey County,57.5
Comanche County,58.2
Cowley County,58.9
Crawford County,57.8
Decatur County,52.4
Dickinson County,57
Doniphan County,55.2
Douglas County,57.6
Edwards County,56.6
Elk County,58.5
Ellis County,55.7
Ellsworth County,56.2
Finney County,55.2
Ford County,57.2
Franklin County,57.3
Geary County,56.8
Gove County,54.4
Graham County,54.9
Grant County,55.4
Gray County,56.2
Greeley County,52.7
Greenwood County,58.4
Hamilton County,54.6
Harper County,58.6
Harvey County,57.2
Haskell County,55.6
Hodgeman County,57
Jackson County,54.9
Jefferson County,56
Jewell County,54
Johnson County,57.5
Kearny County,54.6
Kingman County,57.2
Kiowa County,57
Labette County,58
Lane County,54.9
Leavenworth County,57
Lincoln County,56
Linn County,57
Logan County,53.4
Lyon County,58
McPherson County,56.9
Marion County,56.7
Marshall County,54.9
Meade County,57.6
Miami County,57.2
Mitchell County,54.9
Montgomery County,58.6
Morris County,56.9
Morton County,55.7
Nemaha County,54.2
Neosho County,57.9
Ness County,56
Norton County,53
Osage County,57.3
Osborne County,55
Ottawa County,56.5
Pawnee County,56
Phillips County,54
Pottawatomie County,55.8
Pratt County,56.4
Rawlins County,52
Reno County,56.7
Republic County,54.6
Rice County,56.2
Riley County,56.2
Rooks County,55.3
Rush County,55.7
Russell County,55.9
Saline County,57.7
Scott County,54.2
Sedgwick County,58
Seward County,56.8
Shawnee County,56.3
Sheridan County,53.3
Sherman County,51.7
Smith County,53.8
Stafford County,55.8
Stanton County,55.3
Stevens County,56.1
Sumner County,59.1
Thomas County,52.2
Trego County,55.4
Wabaunsee County,56.5
Wallace County,52.4
Washington County,54.5
Wichita County,53.4
Wilson County,58.6
Woodson County,58
Wyandotte County,57.4
Adair County,59.2
Allen County,60.4
Anderson County,57.7
Ballard County,60.5
Barren County,60.1
Bath County,55.4
Bell County,59.4
Boone County,56.1
Bourbon County,56.3
Boyd County,56.4
Boyle County,58.1
Bracken County,55.8
Breathitt County,57.9
Breckinridge County,57.2
Bullitt County,58.6
Butler County,60.3
Caldwell County,60.5
Calloway County,62
Campbell County,56.3
Carlisle County,61
Carroll County,57.2
Carter County,55.2
Casey County,58.7
Christian County,60.8
Clark County,56.7
Clay County,59.5
Clinton County,60.4
Crittenden County,59.7
Cumberland County,60.2
Daviess County,57.8
Edmonson County,60.3
Elliott County,55.4
Estill County,57.7
Fayette County,57.2
Fleming County,55
Floyd County,58.1
Franklin County,57.6
Fulton County,62
Gallatin County,57
Garrard County,58.4
Grant County,56.5
Graves County,61.6
Grayson County,59
Green County,59.4
Greenup County,55.4
Hancock County,56.2
Hardin County,58.5
Harlan County,58.1
Harrison County,56.4
Hart County,59.7
Henderson County,59
Henry County,57
Hickman County,61.6
Hopkins County,59.8
Jackson County,58.2
Jefferson County,58
Jessamine County,57.8
Johnson County,57
Kenton County,56.1
Knott County,57.9
Knox County,60.2
Larue County,58.9
Laurel County,59.3
Lawrence County,56.6
Lee County,57.8
Leslie County,59.1
Letcher County,58.2
Lewis County,54.7
Lincoln County,58.4
Livingston County,60.4
Logan County,60
Lyon County,61
McCracken County,60.8
McCreary County,59.8
McLean County,58.9
Madison County,58
Magoffin County,57
Marion County,58.5
Marshall County,61.6
Martin County,57.7
Mason County,55.1
Meade County,57.3
Menifee County,55.6
Mercer County,58
Metcalfe County,59.3
Monroe County,59.9
Montgomery County,55.9
Morgan County,55.9
Muhlenberg County,59.7
Nelson County,58.4
Nicholas County,55.7
Ohio County,58.7
Oldham County,56.9
Owen County,57
Owsley County,58.7
Pendleton County,56.4
Perry County,58.6
Pike County,58.4
Powell County,56.7
Pulaski County,59.5
Robertson County,55.8
Rockcastle County,58.6
Rowan County,54.7
Russell County,59.8
Scott County,56.9
Shelby County,57.1
Simpson County,60.5
Spencer County,57.8
Taylor County,58.8
Todd County,60.5
Trigg County,61.4
Trimble County,56.8
Union County,58.9
Warren County,61
Washington County,58.1
Wayne County,60.2
Webster County,59.3
Whitley County,60
Wolfe County,56.6
Woodford County,57.7
Acadia Parish,71.8
Allen Parish,70.9
Ascension Parish,72.2
Assumption Parish,72.6
Avoyelles Parish,70
Beauregard Parish,71.1
Bienville Parish,69.7
Bossier Parish,69.7
Caddo Parish,69.8
Calcasieu Parish,71.9
Caldwell Parish,69.6
Cameron Parish,72.4
Catahoula Parish,69.8
Claiborne Parish,69.3
Concordia Parish,69.9
De Soto Parish,70
East Baton Rouge Parish,71.7
East Carroll Parish,70
East Feliciana Parish,70.8
Evangeline Parish,70.6
Franklin Parish,70.1
Grant Parish,69.5
Iberia Parish,72
Iberville Parish,72.1
Jackson Parish,69.3
Jefferson Parish,72.7
Jefferson Davis Parish,72.2
Lafayette Parish,71.5
Lafourche Parish,73
La Salle Parish,69.5
Lincoln Parish,69.4
Livingston Parish,71.5
Madison Parish,70.2
Morehouse Parish,69.3
Natchitoches Parish,70.1
Orleans Parish,72
Ouachita Parish,69.4
Plaquemines Parish,72.4
Pointe Coupee Parish,71.2
Rapides Parish,70.1
Red River Parish,70.1
Richland Parish,69.8
Sabine Parish,70.2
St. Bernard Parish,71.8
St. Charles Parish,72.6
St. Helena Parish,70.4
St. James Parish,72.4
St. John the Baptist Parish,72.1
St. Landry Parish,70.9
St. Martin Parish,71.8
St. Mary Parish,72.3
St. Tammany Parish,70.6
Tangipahoa Parish,70.5
Tensas Parish,70.2
Terrebonne Parish,73.1
Union Parish,69.2
Vermilion Parish,72.6
Vernon Parish,70.4
Washington Parish,69.9
Webster Parish,69.6
West Baton Rouge Parish,71.9
West Carroll Parish,69.7
West Feliciana Parish,70.9
Winn Parish,69.4
Androscoggin County,44.3
Aroostook County,38
Cumberland County,44.9
Franklin County,38.3
Hancock County,43.2
Kennebec County,43.9
Knox County,43.3
Lincoln County,44.2
Oxford County,41.4
Penobscot County,41.6
Piscataquis County,38.7
Sagadahoc County,44.7
Somerset County,38.9
Waldo County,43
Washington County,42.3
York County,45.6
Allegany County,53.8
Anne Arundel County,58.8
Baltimore County,55.7
Calvert County,59.4
Caroline County,57.1
Carroll County,54.9
Cecil County,54.4
Charles County,60
Dorchester County,59
Frederick County,55.8
Garrett County,50.8
Harford County,54.6
Howard County,56.7
Kent County,55.7
Montgomery County,57.7
Prince George&#039;s County,59.2
Queen Anne&#039;s County,56.4
St. Mary&#039;s County,59.8
Somerset County,58.9
Talbot County,58.5
Washington County,54.9
Wicomico County,58.1
Worcester County,57.6
Baltimore City,57.5
Washington,59.5
Barnstable County,48
Berkshire County,45.4
Bristol County,49.8
Dukes County,48.1
Essex County,48.4
Franklin County,46.8
Hampden County,48.4
Hampshire County,47.9
Middlesex County,49.6
Nantucket County,46.8
Norfolk County,50.3
Plymouth County,49.8
Suffolk County,50.2
Worcester County,47.9
Alcona County,42.3
Alger County,36.9
Allegan County,47.6
Alpena County,42.8
Antrim County,42.8
Arenac County,44.5
Baraga County,36.3
Barry County,47.4
Bay County,45.9
Benzie County,43.2
Berrien County,48.7
Branch County,48.1
Calhoun County,48
Cass County,48.7
Charlevoix County,42.4
Cheboygan County,41.9
Chippewa County,37
Clare County,43.6
Clinton County,46.2
Crawford County,42.4
Delta County,38.4
Dickinson County,38.2
Eaton County,47.2
Emmet County,41.2
Genesee County,47.8
Gladwin County,44.7
Gogebic County,36.2
Grand Traverse County,43.1
Gratiot County,45.6
Hillsdale County,48
Houghton County,37.2
Huron County,45
Ingham County,47.1
Ionia County,46.3
Iosco County,43.3
Iron County,36.4
Isabella County,44.6
Jackson County,47.8
Kalamazoo County,48.5
Kalkaska County,42.6
Kent County,46.6
Keweenaw County,36.2
Lake County,43.8
Lapeer County,47.7
Leelanau County,42.7
Lenawee County,49.6
Livingston County,47.6
Luce County,36.4
Mackinac County,37.8
Macomb County,49.7
Manistee County,43.7
Marquette County,36.5
Mason County,44
Mecosta County,44
Menominee County,40.1
Midland County,45.8
Missaukee County,42.4
Monroe County,50.4
Montcalm County,44.9
Montmorency County,42.9
Muskegon County,46.1
Newaygo County,44.9
Oakland County,48.8
Oceana County,44.6
Ogemaw County,43.3
Ontonagon County,36.8
Osceola County,42.8
Oscoda County,42.6
Otsego County,42.3
Ottawa County,47
Presque Isle County,42.2
Roscommon County,43
Saginaw County,46.8
St. Clair County,48.4
St. Joseph County,48.9
Sanilac County,46
Schoolcraft County,38
Shiawassee County,46.7
Tuscola County,46.5
Van Buren County,48.2
Washtenaw County,48.4
Wayne County,50.2
Wexford County,42.7
Aitkin County,40.6
Anoka County,45.6
Becker County,41.2
Beltrami County,39
Benton County,44.2
Big Stone County,45
Blue Earth County,46.9
Brown County,47.8
Carlton County,39.6
Carver County,46.1
Cass County,40.7
Chippewa County,46
Chisago County,44.3
Clay County,42.6
Clearwater County,39.4
Cook County,33.8
Cottonwood County,47.3
Crow Wing County,42.5
Dakota County,46.2
Dodge County,45.2
Douglas County,43.2
Faribault County,47.1
Fillmore County,44.2
Freeborn County,46.1
Goodhue County,45.2
Grant County,44.3
Hennepin County,46.4
Houston County,45.6
Hubbard County,40.1
Isanti County,44.5
Itasca County,38.8
Jackson County,47.1
Kanabec County,42.6
Kandiyohi County,45.4
Kittson County,40.4
Koochiching County,38.6
Lac qui Parle County,45.4
Lake County,35
Lake of the Woods County,39.4
Le Sueur County,46.1
Lincoln County,44.7
Lyon County,46
McLeod County,45.9
Mahnomen County,40.6
Marshall County,40.6
Martin County,47.4
Meeker County,45.3
Mille Lacs County,43.1
Morrison County,43.6
Mower County,45
Murray County,46.1
Nicollet County,46.7
Nobles County,46.8
Norman County,41.9
Olmsted County,45.1
Otter Tail County,42.6
Pennington County,40.1
Pine County,41.4
Pipestone County,45.5
Polk County,41.3
Pope County,44.3
Ramsey County,46.3
Red Lake County,40.4
Redwood County,47.2
Renville County,47.1
Rice County,45.9
Rock County,47
Roseau County,39.8
St. Louis County,37.6
Scott County,46.3
Sherburne County,45.2
Sibley County,46.3
Stearns County,44.4
Steele County,46
Stevens County,44.8
Swift County,45.4
Todd County,43.1
Traverse County,44.7
Wabasha County,45.2
Wadena County,42.1
Waseca County,46.6
Washington County,45.8
Watonwan County,47.7
Wilkin County,43.5
Winona County,45.3
Wright County,45.7
Yellow Medicine County,45.9
Adams County,69.8
Alcorn County,64.7
Amite County,69.9
Attala County,68.6
Benton County,64.2
Bolivar County,67.2
Calhoun County,66.5
Carroll County,69.6
Chickasaw County,66.1
Choctaw County,66.9
Claiborne County,70.3
Clarke County,67.1
Clay County,66.5
Coahoma County,66.7
Copiah County,70.2
Covington County,69
DeSoto County,64.8
Forrest County,68.6
Franklin County,69.7
George County,69.1
Greene County,68.6
Grenada County,68.2
Hancock County,70.3
Harrison County,69.9
Hinds County,70.5
Holmes County,70.4
Humphreys County,70.8
Issaquena County,70.3
Itawamba County,65.1
Jackson County,69.6
Jasper County,67.6
Jefferson County,69.9
